Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6183.240s
Overall CPU runtime: 6180.191s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.997
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.050, cpuRuntime = 59.969
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.060, cpuRuntime = 60.044
path = inputs/easy100/GEO001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.082, cpuRuntime = 60.053
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 60.000
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.993
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.059, cpuRuntime = 60.052
path = inputs/easy100/SYO038-1.003.004.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.016, cpuRuntime = 60.000
path = inputs/easy100/KLE084-10.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.949
path = inputs/easy100/SYO038-1.003.003.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 59.997
path = inputs/easy100/RNG001-2.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.042, cpuRuntime = 60.019
path = inputs/easy100/ANA002-4.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.060, cpuRuntime = 60.013
path = inputs/easy100/FLD002-3.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.037, cpuRuntime = 60.021
path = inputs/easy100/BOO002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.992
path = inputs/easy100/LCL003-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.069, cpuRuntime = 60.049
