Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6205.398s
Overall CPU runtime: 6203.069s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.974
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.036, cpuRuntime = 60.009
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.984
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.034, cpuRuntime = 59.978
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.046, cpuRuntime = 60.022
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.975
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.004
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.025, cpuRuntime = 59.979
path = inputs/easy100/SYO038-1.003.004.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.971
path = inputs/easy100/KLE084-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.963
path = inputs/easy100/SYO038-1.003.003.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.983
path = inputs/easy100/RNG001-2.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.038, cpuRuntime = 60.019
path = inputs/easy100/ANA002-4.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.040, cpuRuntime = 60.036
path = inputs/easy100/FLD002-3.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.038, cpuRuntime = 60.013
path = inputs/easy100/BOO002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.004
path = inputs/easy100/LCL003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.027, cpuRuntime = 60.008
path = inputs/easy100/ALG005-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.967
path = inputs/easy100/LAT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 60.011
path = inputs/easy100/LAT005-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.050, cpuRuntime = 60.031
path = inputs/easy100/NLP004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 60.006
path = inputs/easy100/KLE090-10.p, config = {solver = BadProver, disable_feature_vector_indexing = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n0\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.974
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.101, cpuRuntime = 60.055
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.037, cpuRuntime = 59.943
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.017
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 60.006
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 59.997
