Number of runs: 300
Individual solver timeout after: 60s
Overall real runtime: 9381.603s
Overall CPU runtime: 9360.442s
Crashes: 22
Solved but misclassified instances: 0
Undecided instances: 129
Solved and correctly classified instances: 149

Crashed instances:
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.992
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.032, cpuRuntime = 59.987
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.983
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.034, cpuRuntime = 60.014
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.058, cpuRuntime = 60.054
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.993
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.993
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.036, cpuRuntime = 60.016
path = inputs/easy100/SYO038-1.003.004.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.994
path = inputs/easy100/KLE084-10.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.982
