Number of runs: 73
Individual solver timeout after: 60s
Overall real runtime: 4322.005s
Overall CPU runtime: 4320.687s
Crashes: 0
Solved but misclassified instances: 0
Undecided instances: 72
Solved and correctly classified instances: 1

Undecided instances (out of time or other constrained resources):
path = inputs/CASC17/NEQ/SET230-6.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.021, cpuRuntime = 60.009
path = inputs/CASC17/NEQ/GEO001-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 59.989
path = inputs/CASC17/NEQ/SET497-6.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.026
path = inputs/CASC17/NEQ/NUM049-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.023, cpuRuntime = 60.000
path = inputs/CASC17/NEQ/SET347-6.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 60.000
path = inputs/CASC17/NEQ/MSC007-2.005.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.024
path = inputs/CASC17/NEQ/SET454-6.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.021, cpuRuntime = 59.979
path = inputs/CASC17/NEQ/GEO028-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.020, cpuRuntime = 59.990
path = inputs/CASC17/NEQ/GEO009-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.013, cpuRuntime = 59.995
path = inputs/CASC17/NNE/SET013-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 59.981
path = inputs/CASC17/NNE/SYN067-3.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.039, cpuRuntime = 60.014
